episode,reward
0,-168.79620211263273
1,-170.22231575090984
2,-298.6045580340614
3,-244.46998641863175
4,-98.35287230420369
5,-156.01541562778
6,-232.96804583843166
7,-169.38959231751454
8,-276.69377017202646
9,-180.24419450070798
10,-134.06304913734652
11,-69.53143646625091
12,-167.6137400379626
13,-164.43656304072596
14,-180.99936162007788
15,-290.31091884529127
16,-111.68648397705111
17,-38.74727321802446
18,-156.12723907752442
19,-299.8731433219752
20,-192.844736391418
21,-106.38954667820177
22,-101.10540461885961
23,-107.27521560819028
24,-186.1380730746364
25,-185.57751969174547
26,-138.24444255331645
27,-197.01205558537475
28,-105.13387054915869
29,-182.25223634317703
30,-69.22821693876065
31,-100.92325950557561
32,-91.56176917033054
33,-15.676362721939881
34,-319.48983325175556
35,-98.45513237918298
36,-116.21956260063683
37,-92.68466172930351
38,-49.58759996266244
39,-245.15720631563104
40,-79.31777130413832
41,-222.29683233985466
42,-227.741500052427
43,-114.36863371204615
44,-141.9784498407799
45,-275.09777729507084
46,-106.30500563358899
47,-190.17604769821975
48,-133.84530808868274
49,-193.4856096047743
50,-99.35773897857712
51,-50.259011116785004
52,-169.00215907414758
53,-81.091894338825
54,-127.91855063620768
55,-93.92172333159571
56,-77.78443790838853
57,-110.3787812408897
58,-359.5211477835654
59,-109.73639844868364
60,-221.4220515179894
61,-74.58182595023304
62,-76.81657823570391
63,-308.4642083469001
64,-82.78401941131614
65,-154.74488091595748
66,-239.8348015763475
67,-262.6754412324945
68,-112.31309382063938
69,-265.9550008702287
70,-132.56898601461174
71,-180.39154872042695
72,-188.88390766044503
73,-65.76611962271205
74,-116.92074341589634
75,-107.10406293072226
76,-85.19222076970085
77,-67.47700731267639
78,-121.83037845729734
79,-220.52255307753705
80,-107.94740236957416
81,-60.67450357323765
82,-159.98472866483434
83,-280.92877153369847
84,-118.35744580696382
85,-160.8639036772234
86,-85.95772158866421
87,-243.72306493059534
88,-96.45220246809214
89,-52.94080723450345
90,-110.96309878606318
91,-130.15183555291065
92,-189.4918362710714
93,-77.7536927877015
94,-105.96329926246503
95,-493.3246380758321
96,-249.03707338480996
97,-82.28826811093244
98,-31.522008566802512
99,-90.12590850676982
100,-62.96228248973875
101,-105.17836119435111
102,-108.58148761578093
103,-147.56694452842902
104,-56.01067945659719
105,-105.71411424070945
106,-137.85151674975904
107,-62.67926056037553
108,-93.26027819896065
109,-83.23598625496174
110,-339.6234438796054
111,-91.07378936157909
112,-123.46451117423254
113,-31.792844687533062
114,-47.392683867391845
115,-137.9133266115738
116,-278.74671852844347
117,-73.63971217371233
118,-210.63807662401575
119,-52.872413891741836
120,-125.5019332764615
121,-98.3941622720022
122,-147.1633662157049
123,-146.79193676083045
124,-96.52930167509673
125,-89.23905501422186
126,-102.15067518267679
127,-69.32818051788526
128,-58.466666255488846
129,-263.17406826920154
130,-101.64647309043752
131,-143.84820845455303
132,-100.76851246928253
133,-73.45627737070544
134,-49.52290408704095
135,36.43595622913992
136,-67.37963975556856
137,-103.05834876686825
138,-65.12771786556966
139,-146.0232974179575
140,-72.29226055810594
141,-42.10192315701242
142,-87.51844495890407
143,-73.91411585666728
144,-341.9342698820775
145,-71.80055568710999
146,-86.63098614011825
147,-97.34779936363941
148,-97.07227410980136
149,-185.9830169115745
150,-48.419202793424446
151,-33.18600026662695
152,-68.69313786841087
153,-53.12482802943245
154,-86.55545700765465
155,-206.10867598412855
156,-85.68607667201803
157,-63.38450285720516
158,-94.88919492793126
159,-21.996384595208895
160,-130.0362657326851
161,-140.1568702291236
162,-67.59987350390651
163,-70.79830442145177
164,-102.63610464283077
165,-7.7001191543632785
166,-52.48307852726198
167,-49.33253380153006
168,-43.9163056455581
169,-48.23641807558767
170,-84.8757357099445
171,-212.37774346577513
172,-43.23875485235905
173,-43.67505977302207
174,-47.82757573660502
175,-44.920237005987204
176,-103.4620080937256
177,-15.12474755081955
178,-53.7729310113634
179,-26.07444999806208
180,-7.552311472737188
181,-88.89018952452591
182,-42.518326830743355
183,-89.64627740932623
184,-101.12799468289825
185,19.521411260395112
186,-221.89546214414804
187,-29.977626642798214
188,-47.5568628084376
189,-58.973511667542255
190,-63.11395457996609
191,0.40807903270716395
192,-11.686982446704192
193,-65.02583245712474
194,-5.505085413291184
195,-34.96812464387051
196,-79.40490581191231
197,-19.37535046805303
198,-80.16755304375698
199,-69.47822942295655
200,-48.197894078992874
201,3.3537568432284957
202,-74.99051934012124
203,-49.722751802827155
204,-116.78738637529074
205,-110.33456611535189
206,-36.11939398550868
207,-86.9109626075298
208,12.543753858929264
209,-46.73876494795047
210,20.703985519337323
211,-56.53297672839526
212,8.209839139959897
213,-57.88807231063523
214,-22.415114966712437
215,-81.9725524741804
216,-39.33696955786819
217,-172.1782482168946
218,-39.43890100750528
219,21.690654030679895
220,-85.27884061353885
221,-83.94239038703176
222,-58.069401719706384
223,-101.70754548717662
224,-29.095113505831165
225,-97.50517833260807
226,-27.283608878414654
227,-38.12018632558678
228,7.012861439606667
229,5.639168019508446
230,-28.625454616797526
231,-238.34031491174537
232,-62.54085753563804
233,-36.24069452720558
234,4.651871453486422
235,-95.8332879984756
236,-41.79154181163938
237,3.5327648492975783
238,-54.66610169254031
239,28.92092273334788
240,-34.21628754489987
241,13.129412984208287
242,-10.573567418238724
243,-17.00621766757571
244,-80.2098041976855
245,-38.21336843853496
246,-63.09079020965967
247,-40.06337548789131
248,-7.21084997012818
249,-41.72199479697508
250,-47.70719476006389
251,2.6804948407031333
252,-60.30905100111417
253,-78.09737325171767
254,-24.17003282513113
255,11.249606680369524
256,-95.21051235250785
257,-57.30013158343502
258,-203.93004609718264
259,-39.432855942232734
260,-24.955625698599036
261,-41.06410081589537
262,-177.31625355451052
263,-34.69178334109709
264,8.67695693902057
265,-68.69326997820663
266,-53.29328792018028
267,-8.856733088455783
268,2.3073934183863685
269,-207.62070328344103
270,-75.37479954412834
271,43.718568378091106
272,-26.56677238034642
273,15.249368902591883
274,-40.72964159900022
275,-64.05172620482907
276,-5.94898569256992
277,-6.3167337453313905
278,-19.42107522984739
279,0.798077527718803
280,20.22901313037208
281,-37.31942627052709
282,-109.1246632332657
283,0.25608558718782604
284,16.00241260307197
285,-44.00308055464086
286,6.945791936281263
287,21.640375811531346
288,-29.566951090434216
289,-40.635460659951725
290,-141.00453563942398
291,-67.62511932517216
292,-47.34945749920485
293,-256.76701613689977
294,-59.75136829880253
295,27.33535015384676
296,3.958890522257704
297,-182.534967948288
298,-167.48061930619275
299,-34.111982367119836
300,-6.120539126191858
301,-48.140459779110095
302,-26.209476325273258
303,-27.982992319185385
304,-5.174048811147598
305,27.986537619244515
306,-27.617868747665845
307,43.08345010570126
308,-50.627339390115225
309,-28.205758400198135
310,-13.942342592086689
311,19.140322681506664
312,-12.124617264789311
313,29.877427331881115
314,-21.614501665525054
315,64.87972003261257
316,-16.848611498343672
317,-18.52777932304567
318,13.087866912677129
319,-73.57377595423938
320,-235.8826661775393
321,-19.426270093764245
322,-136.21706661865932
323,-37.894922517706746
324,16.335888084513368
325,-181.38093054244356
326,-19.940275323043583
327,-31.354185787764955
328,30.962708973847654
329,-57.370248758527254
330,4.716762820892751
331,39.98014633056029
332,74.82414035463104
333,56.60725166930622
334,-44.62824996262573
335,7.928556839971649
336,33.92736627898759
337,5.265402452947498
338,46.11639172828944
339,-15.580042408869257
340,108.0193793236492
341,5.877802766825781
342,-175.2316081311781
343,72.54297935880295
344,59.51432232771555
345,10.6715973469413
346,98.73061607209021
347,64.29970494442736
348,-79.2946112394655
349,16.37969643517799
350,77.38039634690469
351,-54.71323462074888
352,47.964488148800115
353,100.90336040970102
354,50.22935861328291
355,74.1849654514262
356,47.07525204092522
357,67.70855292706084
358,72.50913524438936
359,-80.22433049056757
360,122.57829037150987
361,159.49356321389448
362,127.84881483390603
363,-6.452825216911053
364,86.72219392528591
365,155.20333812486385
366,203.70534847318513
367,71.64662381436868
368,67.48810246169333
369,102.58688622940791
370,136.17926779185666
371,78.86035087987176
372,68.15381864301042
373,29.333835586599065
374,152.75097518094904
375,112.54805068596919
376,210.70388671705882
377,173.06593215860667
378,171.58795352644916
379,157.5249482824756
380,127.95713070174637
381,55.534279934845145
382,78.27175860987391
383,-3.9438345711046168
384,114.83200386044676
385,144.81696801728214
386,155.79028442487015
387,88.50501178427206
388,109.29159016715512
389,155.8069735544978
390,131.5329806760168
391,21.29300680620038
392,176.64029252507973
393,52.00941433286424
394,130.99828164566148
395,-115.19309795884713
396,164.12652093809282
397,247.88394233123825
398,110.25654055876157
399,124.67183841847827
400,180.26597243304354
401,142.84099979512283
402,136.79567254396815
403,157.69113563438708
404,297.0028589205492
405,-31.313217083339353
406,257.33952867809126
407,153.4932513016494
408,238.42328704637754
409,294.4209546484145
410,76.13745308680595
411,239.24813722413853
412,232.41564540225994
413,272.19095124672697
414,269.7135466480179
415,126.92990003000455
416,258.2471599997614
417,244.56994951518251
418,164.35522585274833
419,160.5661260992286
420,150.62687397758117
421,79.96300236181001
422,-227.65150146155847
423,164.4981681151457
424,226.60347572636448
425,142.63153429598324
426,265.90606647928803
427,275.30151095826204
428,176.88006455091073
429,264.56176254906467
430,253.15918683958057
431,144.2734617956039
432,292.7634833795081
433,-74.9046224181677
434,162.88793752493783
435,285.71118753174466
436,278.4215323802666
437,247.1472692947865
438,256.2071185520389
439,-73.04266041760837
440,290.5176832409859
441,266.1498034630322
442,224.06949438656636
443,240.28875168735897
444,239.09947359668277
445,262.76214781684416
446,234.90410184696057
447,234.5374167049443
448,308.9400878707723
449,258.5674754848087
450,219.7182627210866
451,207.99846513731802
452,192.9348473183971
453,-27.98488681430011
454,275.4737175146992
455,178.71225362230106
456,263.384352022528
457,262.7877705037913
458,199.39570791195985
459,234.6530101503201
460,276.67026087836643
461,220.3714651757489
462,247.55316638163296
463,185.06044675755646
464,-29.892209551657345
465,259.03008562773067
466,221.73605849736555
467,288.4530937844089
468,248.82363051178757
469,246.68056351880784
470,223.53568481004697
471,242.43231646258843
472,261.3258577889302
473,259.9564808593638
474,251.45324606424333
475,274.87687641531215
476,288.98226714025486
477,238.30218541757554
478,278.9375278094209
479,283.97446943133525
480,278.10019343167687
481,241.83447320739356
482,253.4978693142638
483,206.01212570526303
484,262.65341743306794
485,270.43636253091177
486,279.0978907512222
487,228.60716209722318
488,276.8738711519203
489,254.52739034988906
490,-7.674273004546663
491,-165.78198144519828
492,-69.02695504154859
493,286.92402282900656
494,279.287740323412
495,312.22477407444467
496,247.56781627554696
497,206.582516986995
498,250.11230068306406
499,179.07775797316023
500,-91.26755260879372
501,33.39889601621974
502,286.3915717804715
503,246.75784570406998
504,275.91539218871196
505,188.25459256584674
506,266.9034217828564
507,210.95010621415713
508,242.91621534968135
509,155.08606410322227
510,-45.349965039815416
511,239.75964766654118
512,237.01522627886106
513,212.32208351071404
514,295.1395923290148
515,230.85174224758927
516,294.00227513383896
517,242.6636486569312
518,191.46244158506573
519,248.98065764874738
520,251.4605773623709
521,266.49302414487033
522,226.60218838302302
523,277.03162129749404
524,-22.62406444142323
525,214.5922370963455
526,289.8167040936115
527,222.01440399094918
528,250.2635688444092
529,279.32434086633396
530,289.2904189034608
531,277.5625093895627
532,281.7901013729993
533,302.8537304338113
534,224.28883880663238
535,282.4151574587364
536,229.88656074239748
537,243.49972098255824
538,266.0070635190477
