episode,reward
0,-578.2123925587696
1,-296.8663378836354
2,-252.7914330382223
3,-265.3107502221796
4,-634.9344149543938
5,-315.7165058748375
6,-205.7050754698926
7,-333.82581911814816
8,-518.3632576759073
9,-588.3411661508159
10,-269.8848005875477
11,-530.7226667704747
12,-227.8629446670573
13,-427.7826991393556
14,-359.9899356582797
15,-206.17551085727916
16,-770.2301859747464
17,-377.84302199294183
18,-329.7364143471103
19,-366.5714118354824
20,-493.7796041145004
21,-238.83891537960133
22,-428.48879036713265
23,-916.827581087766
24,-553.8438239136394
25,-580.8538484401467
26,-570.7546959413668
27,-619.5369164599406
28,-52.6239708089353
29,-486.93465679036683
30,-468.2195292007757
31,-441.2860410011963
32,-252.84150568239207
33,-399.0341663484781
34,-427.82386312869335
35,-252.95974436347822
36,-122.35915792753553
37,-274.5104130389416
38,-332.06959261263637
39,-553.6656959895271
40,-341.84896472714104
41,-197.90597745119658
42,-476.20211649770687
43,-461.94700542169926
44,-330.1429350510908
45,-430.96491846772324
46,15.779293930195323
47,-270.11397295675596
48,-606.585564177997
49,-351.88749927664054
50,-154.61129489838947
51,-205.47400253096976
52,-420.2791867337676
53,-203.25855024925266
54,-249.0986767131164
55,-535.8082257455209
56,-236.4018506809206
57,-217.01145900994953
58,-172.85105791577104
59,-685.3902702305061
60,-310.04553058100834
61,-190.84829861191764
62,-464.91572755880924
63,-351.1295507512675
64,-393.40705929095236
65,-707.9297195022476
66,-285.0429916310724
67,-249.629281531324
68,-755.4927243899409
69,-495.94810567537934
70,-653.7525422760285
71,-249.23186162031777
72,-619.2042921502687
73,-336.63368642296666
74,-6.9273573098155055
75,-310.91525510290234
76,-235.8978095492234
77,-380.89366305972686
78,-308.8978120818283
79,-507.17248902251475
80,-268.59593860143036
81,-155.3505582574351
82,-173.70264762105802
83,-268.109639827068
84,-329.06696954627085
85,-343.1243107821731
86,-287.6764207022212
87,-579.8432394670009
88,-292.41389426729575
89,-155.91990615470564
90,-174.71672199056806
91,-385.86346004978424
92,-371.71529532164766
93,-280.74691328597874
94,-361.0092704093126
95,-200.32318404036954
96,-178.93035446605163
97,55.24714143932463
98,-271.1241153853892
99,-217.45828066007596
100,-331.899878775908
101,-322.5260075655347
102,28.439253312280492
103,-137.59016486263067
104,-749.7836796651846
105,-927.8819787482751
106,-382.41674457607274
107,-208.6044601708385
108,-222.69658382033865
109,-759.7053356536762
110,-284.28121148671175
111,62.044118944578464
112,-472.1326850415815
113,-256.8271610895904
114,-18.05855035103005
115,-155.5445030735019
116,-526.322133040738
117,-189.97015483282308
118,-133.30126336602245
119,-216.7765529118871
120,-152.22756629617234
121,33.834957895070694
122,-138.8568108356195
123,-226.74138654315817
124,-99.47111532876676
125,-304.65094786192003
126,-344.56409660427954
127,-115.21929563874829
