episode,reward
0,-225.60847363659911
1,-122.48452912340082
2,-235.58109505229123
3,-146.99823082832717
4,-270.22558083078366
5,-100.49086808814779
6,-43.30577692906732
7,-222.79189549911956
8,-234.37066244643935
9,-104.14936713201237
10,-197.58708438912498
11,-147.86010972285993
12,-353.699383475775
13,-362.78516360245135
14,-116.48274958570875
15,-95.6391180392118
16,-66.3357394468193
17,-101.83728995151789
18,-99.85076985350862
19,-84.17340831716771
20,-103.43512194238922
21,-64.54124025938307
22,-156.95785843060168
23,-92.39035067218877
24,-111.34922634523541
25,-213.66148103318335
26,-137.0581178047604
27,-120.60069244085979
28,-187.36001017810952
29,-71.71287338436159
30,-198.0076023402828
31,-150.26710096278657
32,-103.28025200384299
33,-190.62949712861075
34,-86.51561461033842
35,-280.99018653585813
36,-98.28172873797546
37,-79.09700804083029
38,-156.59700244788604
39,-354.2507242835268
40,-419.2963933330137
41,-210.70768586936902
42,-145.29324219270558
43,-94.5520041962997
44,-107.45317784393731
45,-246.68745490446793
46,-345.79439706591995
47,-104.89538185051738
48,-139.12421948493363
49,-184.96899814815035
50,-201.81859865742643
51,-392.20390023031086
52,-35.54756101925915
53,-146.14808580004308
54,-166.77792998334797
55,-100.23575596422093
56,-1.139394531915059
57,-109.58808142803987
58,-86.28830367859806
59,-137.0900875126322
60,-219.91800216158492
61,-147.2157926914424
62,-65.66476022314143
63,-316.43211855118267
64,-71.19823316076123
65,-125.87503665339841
66,-107.58303883047697
67,-155.91484321628874
68,-89.39321395704887
69,-10.089572514704741
70,-83.33142141042977
71,-58.10542390533587
72,-184.8166125451874
73,-97.29058698048513
74,-243.98664794992615
75,-85.01143636095131
76,-291.3606931036036
77,-56.0935233459641
78,-179.757813118919
79,-32.74396574704444
80,-116.20119995521704
81,-70.08488134440748
82,-86.6827746536172
83,-109.29740806798183
84,-116.16794460249727
85,-125.73227960748297
86,-100.49328245997721
87,-121.75083578495631
88,-121.58937503141303
89,-166.42853024498004
90,2.3649994690850917
91,-101.91339638119307
92,-124.76656704962174
93,-127.60370209338346
94,-43.253130261500885
95,15.97205003512812
96,-158.4844370476064
97,-74.00091411171132
98,-77.12007833392121
99,-16.97616204170434
100,-116.47471820051291
101,-123.13700494175288
102,-116.71146816744981
103,-104.93495793516908
104,-91.31041236626554
105,-160.9554190599161
106,-169.79208026364384
107,-331.2705672993039
108,-38.35622858572479
109,-102.33516502391481
110,-45.22179178837952
111,-36.056723874494146
112,-90.0074684186157
113,-94.80009843301359
114,-116.46356620930018
115,4.255710780992345
116,-56.937687037980716
117,-333.45153043936364
118,-72.83893720444641
119,-71.87881474616384
120,-80.52807637058181
121,-71.09629245761927
122,-33.84230783641382
123,-71.4591974853422
124,-94.40378908759226
125,-129.6520418425
126,-58.649559234828246
127,-91.64547888291578
128,-60.67385465725941
129,-73.27210308940037
130,-72.32451895467301
131,-173.8334975166523
132,-116.67423368819888
133,-96.7148321282806
134,-92.85271904956961
135,-192.2126676580714
136,-37.01429731051776
137,-90.46290024808178
138,-101.87300934672457
139,-46.63780689609783
140,-92.73695431265217
141,-39.626264145155076
142,-14.1864824142189
143,18.349192119787233
144,-104.37252499151464
145,-87.11831548042915
146,-32.67144858254984
147,-104.44396325569318
148,-91.53812557003934
149,-186.66348101209098
150,-153.07465081606057
151,-56.03667153249809
152,-74.6108860167858
153,-142.05285859437853
154,-49.860286477320926
155,-111.39037871444287
156,-41.312545778723006
157,-102.13185858059292
158,-71.30081320163548
159,-83.4447400508513
160,-77.4652075329391
161,-33.458089906831745
162,-100.50204050446017
163,-71.68991793942433
164,-68.33739951348763
165,-69.21298177358244
166,-101.34657426990334
167,-51.74176066807891
168,-37.30049673404899
169,-106.118763975311
170,-77.61583659132438
171,-86.76635829961796
172,-29.7936761856122
173,-43.14990715010107
174,-82.51177463375616
175,-14.758259613622059
176,-33.541929298995655
177,-19.81770251120453
178,-27.441773751927045
